値段,株数,金額,時刻
14355,133500,1916392500,15:30:00
14350,100,1435000,15:24:59
14355,100,1435500,15:24:59
14355,100,1435500,15:24:59
14355,100,1435500,15:24:59
14355,100,1435500,15:24:59
14350,4300,61705000,15:24:58
14350,100,1435000,15:24:58
14355,100,1435500,15:24:57
14350,100,1435000,15:24:57
14350,2500,35875000,15:24:57
14355,1000,14355000,15:24:57
14365,100,1436500,15:24:57
14355,100,1435500,15:24:56
14365,100,1436500,15:24:56
14355,100,1435500,15:24:55
14360,100,1436000,15:24:55
14365,100,1436500,15:24:54
14365,100,1436500,15:24:53
14360,100,1436000,15:24:53
14370,100,1437000,15:24:51
14365,100,1436500,15:24:51
14365,100,1436500,15:24:51
14355,100,1435500,15:24:51
14355,100,1435500,15:24:47
14365,100,1436500,15:24:46
14355,100,1435500,15:24:44
14350,100,1435000,15:24:42
14360,100,1436000,15:24:42
14360,100,1436000,15:24:40
14355,100,1435500,15:24:40
14365,400,5746000,15:24:38
14360,600,8616000,15:24:38
14355,200,2871000,15:24:36
14350,200,2870000,15:24:35
14350,100,1435000,15:24:33
14355,200,2871000,15:24:33
14355,100,1435500,15:24:33
14360,100,1436000,15:24:32
14355,100,1435500,15:24:32
14360,100,1436000,15:24:32
14355,100,1435500,15:24:31
14355,100,1435500,15:24:31
14355,200,2871000,15:24:30
14350,100,1435000,15:24:30
14355,100,1435500,15:24:30
14355,200,2871000,15:24:29
14355,100,1435500,15:24:29
14355,300,4306500,15:24:29
14355,100,1435500,15:24:27
14355,100,1435500,15:24:23
14365,100,1436500,15:24:23
14365,100,1436500,15:24:21
14360,600,8616000,15:24:21
14360,100,1436000,15:24:21
14355,100,1435500,15:24:21
14355,100,1435500,15:24:21
14355,400,5742000,15:24:20
14350,200,2870000,15:24:20
14350,100,1435000,15:24:19
14350,100,1435000,15:24:18
14350,100,1435000,15:24:18
14350,100,1435000,15:24:17
14350,100,1435000,15:24:16
14350,100,1435000,15:24:16
14355,1800,25839000,15:24:12
14355,500,7177500,15:24:12
14360,100,1436000,15:24:11
14365,200,2873000,15:24:09
14360,100,1436000,15:24:04
14360,100,1436000,15:24:02
14365,100,1436500,15:24:02
14365,100,1436500,15:24:01
14365,100,1436500,15:23:57
14360,100,1436000,15:23:53
14360,100,1436000,15:23:53
14360,100,1436000,15:23:50
14365,100,1436500,15:23:49
14365,100,1436500,15:23:49
14365,100,1436500,15:23:48
14360,200,2872000,15:23:48
14360,100,1436000,15:23:47
14360,100,1436000,15:23:47
14365,100,1436500,15:23:46
14360,100,1436000,15:23:45
14365,300,4309500,15:23:45
14360,1500,21540000,15:23:45
14360,100,1436000,15:23:45
14355,100,1435500,15:23:39
14355,1200,17226000,15:23:39
14355,100,1435500,15:23:37
14355,200,2871000,15:23:35
14355,100,1435500,15:23:35
14355,500,7177500,15:23:34
14355,100,1435500,15:23:32
14355,200,2871000,15:23:29
14355,300,4306500,15:23:29
14360,100,1436000,15:23:28
14360,100,1436000,15:23:26
